,DriverId,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Predicted_Accident_Severity
225,117,18-30,Male,Junior high school,Employee,Above 10yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,2
226,2237,18-30,Male,Junior high school,Owner,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing,2
227,10347,18-30,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Raining,Collision with roadside objects,Moving Backward,Not a Pedestrian,Driving carelessly,2
228,5197,31-50,Male,Junior high school,Owner,Above 10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,2
229,9600,31-50,Male,High school,Owner,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
230,12058,18-30,Male,Unknown,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
231,1045,31-50,Male,Unknown,Unknown,Unknown,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
232,2894,31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
233,2932,Unknown,Male,Elementary school,Employee,1-2yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,No distancing,2
234,7517,31-50,Male,Junior high school,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No distancing,2
235,7032,18-30,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Other,Earth roads,Daylight,Unknown,Collision with pedestrians,Going straight,Not a Pedestrian,Moving Backward,2
236,9475,31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Changing lane to the right,2
237,4965,Unknown,Female,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2
238,8447,18-30,Male,Junior high school,Owner,2-5yr,other,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2
239,10441,31-50,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2
240,2348,31-50,Male,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving under the influence of drugs,2
241,8011,18-30,Male,Illiterate,Owner,1-2yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Other,Not a Pedestrian,Driving at high speed,2
242,522,31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,No distancing,2
243,8283,31-50,Male,Unknown,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
244,1603,18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
245,11383,31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
246,3431,31-50,Male,Elementary school,Employee,1-2yr,Unknown,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2
247,6419,18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
248,7874,31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2
249,4725,18-30,Male,High school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Changing lane to the right,2
250,10120,Under 18,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving carelessly,2
251,1051,31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to vehicle,2
252,6168,Unknown,Female,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,2
253,11615,Over 51,Female,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2
254,2852,31-50,Male,Junior high school,Employee,2-5yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
255,8900,31-50,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown,Not a Pedestrian,Changing lane to the right,2
256,3257,Unknown,Male,Above high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
257,8759,18-30,Male,Unknown,Owner,Unknown,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
258,5171,Unknown,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2
259,4483,Unknown,Male,Junior high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Daylight,Unknown,Rollover,Going straight,Not a Pedestrian,Driving to the left,2
260,3170,31-50,Male,Junior high school,Employee,5-10yr,One way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
261,1428,18-30,Male,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Waiting to go,Not a Pedestrian,Driving carelessly,2
262,10017,31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Turnover,2
263,8099,31-50,Female,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,Not a Pedestrian,No priority to vehicle,2
264,1721,Under 18,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,2
265,4940,Under 18,Male,Junior high school,Owner,5-10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to vehicle,2
266,7682,31-50,Male,High school,Owner,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
267,3852,18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
268,796,31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2
269,2752,31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Overtaking,Not a Pedestrian,Changing lane to the right,2
270,7270,31-50,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,2
271,5894,18-30,Male,Unknown,Owner,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No distancing,2
272,2790,31-50,Male,Elementary school,Owner,Above 10yr,One way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2
273,10039,18-30,Male,Above high school,Owner,2-5yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
274,12302,31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,Other,Not a Pedestrian,Moving Backward,2
275,2392,Under 18,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
276,7370,Unknown,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
277,3791,31-50,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
278,8092,18-30,Male,Unknown,Unknown,Unknown,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Getting off,Not a Pedestrian,Changing lane to the right,2
279,8832,31-50,Male,Junior high school,Employee,Unknown,Two-way (divided with solid lines road marking),Other,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Changing lane to the right,2
280,2701,Unknown,Unknown,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,2
281,3071,31-50,Male,High school,Employee,Below 1yr,One way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Changing lane to the right,2
282,9957,31-50,Male,Above high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2
283,3582,31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,2
284,12281,18-30,Male,Elementary school,Employee,Above 10yr,One way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Moving Backward,2
285,7999,18-30,Male,Junior high school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2
286,2564,31-50,Male,Junior high school,Employee,Below 1yr,Double carriageway (median),Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Drunk driving,2
287,2931,31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
288,2127,Unknown,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving to the left,2
289,1360,Under 18,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Reversing,Not a Pedestrian,Driving to the left,2
290,4536,18-30,Male,Unknown,Unknown,Unknown,Undivided Two way,No junction,Asphalt roads,Darkness - no lighting,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,2
291,3893,18-30,Male,Junior high school,Employee,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Turnover,2
292,10074,Over 51,Male,Junior high school,Employee,2-5yr,One way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,Moving Backward,2
293,315,31-50,Male,Elementary school,Employee,2-5yr,One way,No junction,Asphalt roads,Daylight,Snow,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
294,7219,18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Darkness - lights lit,Unknown,Collision with roadside objects,Other,Not a Pedestrian,Changing lane to the right,2
295,8070,18-30,Male,Elementary school,Employee,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Waiting to go,Not a Pedestrian,No distancing,2
296,12034,Over 51,Male,High school,Owner,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
297,8642,Over 51,Male,Junior high school,Owner,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,Driving under the influence of drugs,2
298,9700,18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,2
299,11051,18-30,Male,Writing & reading,Employee,Below 1yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
300,2870,31-50,Male,Elementary school,Owner,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2
301,3440,18-30,Male,Junior high school,Owner,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No distancing,2
302,10283,18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to vehicle,2
303,7532,Over 51,Male,Elementary school,Owner,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving carelessly,2
304,8559,31-50,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Unknown,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2
305,4062,18-30,Male,Unknown,Unknown,Unknown,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Other,2
306,3221,18-30,Male,Junior high school,Unknown,Unknown,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No priority to vehicle,2
307,12246,18-30,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
308,9213,31-50,Male,Junior high school,Employee,5-10yr,One way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Changing lane to the right,2
309,97,31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
310,4772,Unknown,Female,High school,Employee,Above 10yr,other,No junction,Asphalt roads,Daylight,Unknown,Collision with pedestrians,Overtaking,Not a Pedestrian,Moving Backward,2
311,12303,31-50,Male,Junior high school,Employee,2-5yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
312,6677,18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Unknown,Not a Pedestrian,Changing lane to the right,2
313,822,Over 51,Male,Junior high school,Employee,2-5yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2
314,6454,Under 18,Male,Elementary school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to vehicle,2
315,8836,31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
316,6522,Over 51,Male,Elementary school,Unknown,Unknown,One way,Y Shape,Gravel roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
317,10568,31-50,Unknown,Junior high school,Owner,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to vehicle,2
318,3812,31-50,Male,High school,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving to the left,2
319,10904,Under 18,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,Driving carelessly,2
320,2338,31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving under the influence of drugs,2
321,8634,Under 18,Male,Elementary school,Unknown,Unknown,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2
322,10378,18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2
323,8369,18-30,Male,Elementary school,Employee,5-10yr,Unknown,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
324,6664,Unknown,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
325,12012,18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2
326,7617,31-50,Male,High school,Owner,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
327,6201,31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2
328,596,Over 51,Male,Junior high school,Owner,Above 10yr,One way,Other,Asphalt roads,Daylight,Normal,Unknown,Going straight,Not a Pedestrian,Moving Backward,2
329,8270,Unknown,Female,Elementary school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2
330,5233,18-30,Male,Junior high school,Employee,1-2yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Overloading,2
331,7616,Over 51,Male,High school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
332,4383,18-30,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Crossing,Unknown,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2
333,49,18-30,Male,High school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
334,9390,18-30,Male,Junior high school,Employee,2-5yr,One way,Other,Asphalt roads,Daylight,Raining,Rollover,Other,Not a Pedestrian,Changing lane to the right,2
335,11132,18-30,Male,High school,Employee,1-2yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,No distancing,2
336,11884,31-50,Female,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2
337,141,31-50,Male,Junior high school,Employee,Unknown,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
338,9589,18-30,Male,Unknown,Unknown,Unknown,One way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the right,2
339,7655,18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,Moving Backward,2
340,10889,18-30,Male,High school,Other,Above 10yr,Double carriageway (median),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
341,10910,18-30,Male,Junior high school,Employee,Above 10yr,other,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown,"Walking along in carriageway, back to traffic",Overtaking,2
342,10903,Unknown,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Not a Pedestrian,Driving carelessly,2
343,225,Over 51,Male,Above high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2
344,5773,18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2
345,3680,18-30,Male,Elementary school,Employee,Above 10yr,Undivided Two way,Other,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
346,5566,Over 51,Male,Unknown,Employee,Above 10yr,One way,No junction,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to pedestrian,2
347,604,18-30,Male,Unknown,Owner,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2
348,11515,18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Snow,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2
349,1037,18-30,Male,Junior high school,Employee,2-5yr,One way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to pedestrian,2
350,11975,Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,Driving carelessly,2
351,5524,31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Earth roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
352,7849,18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
353,5052,Unknown,Male,Junior high school,Owner,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
354,10224,Over 51,Male,Elementary school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Changing lane to the right,2
355,5640,31-50,Male,Unknown,Owner,5-10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2
356,6613,Over 51,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,Not a Pedestrian,No priority to vehicle,2
357,7175,31-50,Male,Above high school,Owner,2-5yr,Unknown,No junction,Asphalt roads with some distress,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,2
358,147,18-30,Unknown,Unknown,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
359,6154,Unknown,Female,Unknown,Unknown,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overspeed,1
360,6134,31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads with some distress,Daylight,Normal,Rollover,Unknown,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",No priority to vehicle,2
361,4701,Unknown,Female,Elementary school,Owner,5-10yr,Undivided Two way,No junction,Other,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Unknown or other,Changing lane to the right,2
362,8196,31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Other,2
363,3888,Unknown,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2
364,1720,18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Windy,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the right,2
365,2651,31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,2
366,1585,Unknown,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
